Trigger_Keywords,User_Concern,Scientific_Finding,Citation_Text,Study_Title,Study_URL,Resource_Type,Driver_Question_1,Driver_Question_2,Protocol_Addition,,
"heart health,cardio,aging,stamina",Heart Health & Cardio,Aerobic exercise grows new lymphatic vessels in the heart (lymphangiogenesis) and reduces inflammation,Research in Aging Cell shows that aerobic exercise actually grows new lymphatic vessels in the heart reducing inflammation,Aerobic Exercise & Lymphangiogenesis,https://onlinelibrary.wiley.com/doi/10.1111/acel.70043,Study,Do you currently do any Zone 2 cardio (like brisk walking)?,Are you looking to improve stamina or just general health?,Add to Weekly Protocol: 3x/week Zone 2 Cardio (30-45 mins),,
"exercise,fitness,workout adaptation,training",Exercise Adaptation,Lymphatic vessel growth is required for healthy heart enlargement during exercise,Studies show lymphatic growth is essential for healthy heart adaptation to exercise,Lymphatic Growth & Exercise Adaptation,https://www.sciencedirect.com/science/article/pii/S2095254622000370?via%3Dihub,Study,How many days a week do you currently train?,Do you ever feel heavy or swollen after workouts?,Add to Daily Protocol: Post-workout 10 mins Legs Up Wall + Electrolytes,,
"sleep,brain fog,detox,groggy,mental clarity",Sleep & Brain Detox,Glymphatic system clears waste most efficiently in lateral (side-sleeping) position,A 2015 study in the Journal of Neuroscience found that side-sleeping is the most effective position for clearing brain waste,Side-Sleeping & Glymphatic Clearance,https://www.jneurosci.org/content/35/31/11034.long,Study,Do you usually sleep on your side back or stomach?,Do you wake up feeling groggy or clear-headed?,Add to Bedtime Protocol: Sleep Position Side-lying (if comfortable). No food 3 hours before bed,,
"brain health,memory,neurodegeneration,alzheimer,dementia",Brain Health & Neurodegeneration,Meningeal lymphatics drain CNS waste; dysfunction is linked to neurodegenerative diseases,Meningeal lymphatic health is increasingly linked to preventing neurodegeneration,Meningeal Lymphatics & Neurodegeneration,https://www.annualreviews.org/docserver/fulltext/neuro/47/1/annurev-neuro-113023-103045.pdf,Study,Is long-term brain health a major priority for you?,Do you have a family history of memory issues?,Add to Weekly Protocol: Daily Omega-3s + 7-8 hours sleep priority,,
"breathing,belly fat,bloating,abdominal",Deep Breathing & Abdominal Lymph,Cisterna Chyli (abdominal lymph reservoir) is pumped by deep diaphragmatic breathing,The Cisterna Chyli acts as a reservoir in your abdomen that is pumped by deep breathing,Cisterna Chyli & Diaphragmatic Breathing,https://journals.physiology.org/doi/full/10.1152/ajpheart.00375.2022,Study,Do you tend to breathe into your chest or your belly?,Have you ever tried diaphragmatic breathing?,Add to Morning Protocol: 5 mins Diaphragmatic Breathing (supine),,
"sinus,congestion,puffiness,jaw clenching",Sinus & Brain Fluid Drainage,Nasopharyngeal plexus is a key drainage point for cerebrospinal fluid to cervical lymph nodes,New research identifies the nasopharyngeal plexus as a key drainage point for brain fluid,Nasopharyngeal CSF Drainage,https://www.nature.com/articles/s41586-023-06899-4,Study,Do you suffer from sinus congestion or morning puffiness?,Do you clench your jaw at night?,Add to Morning Protocol: Gentle neck massage + warm compress,,
"cellulite,skin texture,dimpling,orange peel",Cellulite & Skin Texture,3 months of electro-mechanical micromassage resulted in 56% reduction in skin surface irregularity,Clinical studies showed a 56% reduction in skin irregularity after 3 months of consistent micromassage,Micromassage & Cellulite Reduction,https://pubmed.ncbi.nlm.nih.gov/11201858/,Study,Is skin texture/cellulite a main concern for you?,Where do you notice it most (thighs glutes)?,Add to Daily Protocol: Evening 10 mins Micromassage (or dry brushing) on target areas,,
"mld,manual lymphatic drainage,massage,therapist",Manual Lymphatic Drainage,MLD is clinically effective for symptom relief pain management and fluid redirection,MLD is clinically proven to support fluid redirection and pain relief,MLD Effectiveness Review,https://www.magonlinelibrary.com/doi/abs/10.12968/bjcn.2024.0101,Study,Have you ever had a professional lymphatic massage?,Would you like me to check for a therapist in your city?,Trigger Provider Search (Geo-match). Offer 15-min consultation,,
"red light,infrared,phototherapy,light therapy",Red Light Therapy,Low-level laser therapy shows promise in reducing limb volume and pain in lymphedema,Systematic reviews suggest red light therapy can help reduce volume and pain in lymphedema,Red Light Therapy & Lymphedema,https://link.springer.com/article/10.1007/s10103-023-03959-z,Study,Do you have access to a red light panel or sauna?,Are you dealing with any specific pain points?,Add to Weekly Protocol: 3-4x/week 10-20 mins Red Light Therapy,,
"flying,travel,airplane,leg swelling,flight",Travel & Leg Swelling,Light compression (8-15 mmHg) significantly reduced leg swelling discomfort and fatigue in flight attendants,Research on flight attendants showed that even light compression (8-15 mmHg) reduced swelling by 50%,Compression for Flight Attendants,https://pubmed.ncbi.nlm.nih.gov/11201858/,Study,Do you travel often for work or pleasure?,Do your ankles get puffy after long flights?,Add to Travel Protocol: Wear Elastique leggings for all flights >2 hours. Hydrate + Ankle pumps every hour,,
"normatec,compression boots,pneumatic compression",Pneumatic Compression Boots,Pneumatic compression mimics the natural muscle pump to accelerate lymphatic drainage and recovery,Pneumatic compression boots mimic your natural muscle pump to accelerate recovery,Normatec Compression Boots,https://hyperice.com/get-normatec/,Product,Do you enjoy using tech gadgets for recovery?,Do you have time to sit for 20-30 mins?,Add to Evening Protocol: 20 mins Boots (Post-workout or long standing days),,
